Regina,-104.618896,50.44521,null,null,Saskatchewan,-106,55
Moose Jaw ,-105.551941,50.393333,null,null,Saskatchewan,-106,55
Ottawa,-75.695,45.424721,null,null,Ontario,-85,50
Quebec City,-71.254028,46.829853,null,null,Quebec,-71.254028,46.829853
Winnipeg,-97.138451,49.895077,null,null,Manitoba,-98.739075,56.415211
Edmonton,-113.323975,53.631611,null,null,Alberta,-115,55
Victoria,-123.329773,48.407326,null,null,British Columbia,-127.647621,53.726669
Charlotte Town,-63.129166,46.238888,null,null,Prince Edward Island,-63,46.25
Halifax,-63.582687,44.65107,null,null,Nova Scotia,-63,45
St. Johns,-52.71283,47.560539,null,null,Newfoundland & Labrador,-57.660435,53.135509
Fredericton,-66.646332,45.964993,null,null,New Brunswick,-66.159668,46.49839
White Horse,-135.056839,60.721188,null,null,Yukon,-135,64
Yellow Knife,-114.371788,62.453972,null,null,Northwest Territories,-114.371788,62.453972
Iqaluit,-68.519722,63.748611,null,null,Nunavut,-86.798981,70.453262
Calgary,-114.066666,51.049999,null,null,Alberta,-115,55
Vancouver,-123.116226,49.246292,null,null,British Columbia,,
Red Deer,-113.811241,52.268112,null,null,Alberta,-115,55
Saskatoon,-106.647034,52.146973,null,null,Saskatchewan,-106,55
Toronto,-79.347015,43.65107,null,null,Ontario,-85,50
Montreal,-73.561668,45.508888,null,null,Quebec,-71.254028,46.829853
Moncton,-64.790497,46.090946,null,null,New Brunswick,-66.159668,46.49839
Kamloops,-120.340836,50.676109,null,null,British Columbia,-127.647621,53.726669
Kelowna,-119.477829,49.882114,null,null,British Columbia,-127.647621,53.726669
