Regina,-104.618896,50.44521,228928
Moose Jaw ,-105.551941,50.393333,33890
Ottawa,-75.695,45.424721,994837
Quebec City,-71.254028,46.829853,549459
Winnipeg,-97.138451,49.895077,749534
Edmonton,-113.323975,53.631611,981280
Victoria,-123.329773,48.407326,92141
Charlotte Town,-63.129166,46.238888,36094
Halifax,-63.582687,44.65107,431479
St. Johns,-52.71283,47.560539,70785
Fredericton,-66.646332,45.964993,58220
White Horse,-135.056839,60.721188,25085
Yellow Knife,-114.371788,62.453972,19569
Iqaluit,-68.519722,63.748611,7740
Calgary,-114.066666,51.049999,1336000
Vancouver,-123.116226,49.246292,675000
Red Deer,-113.811241,52.268112,103588
Saskatoon,-106.647034,52.146973,273010
Toronto,-79.347015,43.65107,2930000
Montreal,-73.561668,45.508888,1780000
Moncton,-64.790497,46.090946,85198
Kamloops,-120.340836,50.676109,90280
Kelowna,-119.477829,49.882114,144576
