"Name";"Longitude";"Latitude";"Population";"AccessabilityRating"
"Alberta";-115.0;55.0;0;0
"British Columbia";-127.648;53.7267;0;0
"Calgary";-114.067;51.05;1336000;0
"Charlotte Town";-63.1292;46.2389;36094;0
"Edmonton";-113.324;53.6316;981280;0
"Fredericton";-66.6463;45.965;58220;0
"Halifax";-63.5827;44.6511;431479;0
"Iqaluit";-68.5197;63.7486;7740;0
"Kamloops";-120.341;50.6761;90280;0
"Kelowna";-119.478;49.8821;144576;0
"Manitoba";-98.7391;56.4152;0;0
"Moncton";-64.7905;46.0909;85198;0
"Montreal";-73.5617;45.5089;1780000;0
"Moose Jaw";-105.552;50.3933;33890;0
"New Brunswick";-66.1597;46.4984;0;0
"Newfoundland & Labrador";-57.6604;53.1355;0;0
"Northwest Territories";-114.372;62.454;0;0
"Nova Scotia";-63.0;45.0;0;0
"Nunavut";-86.799;70.4533;0;0
"Ontario";-85.0;50.0;0;0
"Ottawa";-75.695;45.4247;994837;0
"Prince Edward Island";-63.0;46.25;0;0
"Quebec";-71.254;46.8299;0;0
"Quebec City";-71.254;46.8299;549459;0
"Red Deer";-113.811;52.2681;103588;0
"Regina";-104.619;50.4452;228928;0
"Saskatchewan";-106.0;55.0;0;0
"Saskatoon";-106.647;52.147;273010;0
"St. Johns";-52.7128;47.5605;70785;0
"Toronto";-79.347;43.6511;2930000;0
"Vancouver";-123.116;49.2463;675000;0
"Victoria";-123.33;48.4073;92141;0
"White Horse";-135.057;60.7212;25085;0
"Winnipeg";-97.1385;49.8951;749534;0
"Yellow Knife";-114.372;62.454;19569;0
"Yukon";-135.0;64.0;0;0
